year,facility_name,animal_type,measure,value
2007,Animal Kingdom,Other,Other Intake,2
2007,Animal Loving People Helping Animals (Alpha) Humane,Cat,Adoption,27
2007,Animal Loving People Helping Animals (Alpha) Humane,Cat,Other Intake,9
2007,Animal Loving People Helping Animals (Alpha) Humane,Dog,Adoption,47
2007,Animal Loving People Helping Animals (Alpha) Humane,Dog,Other Intake,31
2007,Animal Loving People Helping Animals (Alpha) Humane,Dog,Owner Relinquished,2
2007,Animal Loving People Helping Animals (Alpha) Humane,Dog,Transfer Out,157
2007,"Animal Medical Center Of Estes Park, P.C.",Cat,Adoption,1
2007,"Animal Medical Center Of Estes Park, P.C.",Cat,Other Intake,16
2007,"Animal Medical Center Of Estes Park, P.C.",Cat,Owner Relinquished,5
2007,"Animal Medical Center Of Estes Park, P.C.",Dog,Adoption,18
2007,"Animal Medical Center Of Estes Park, P.C.",Dog,Other Intake,69
2007,"Animal Medical Center Of Estes Park, P.C.",Dog,Owner Relinquished,50
2007,"Animal Medical Center Of Estes Park, P.C.",Dog,Transfer Out,1
2007,"Animal Medical Center Of Estes Park, P.C.",Other,Other Intake,3
2007,"Animal Medical Center Of Estes Park, P.C.",Other,Owner Relinquished,1
2007,Animal Rescue & Adoption Society,Cat,Adoption,321
2007,Animal Rescue & Adoption Society,Cat,Death,7
2007,Animal Rescue & Adoption Society,Cat,Euthanasia,30
2007,Animal Rescue & Adoption Society,Cat,Other Intake,285
2007,Animal Rescue Foundation,Cat,Adoption,19
2007,Animal Rescue Foundation,Cat,Other Intake,19
2007,Animal Rescue Foundation,Dog,Adoption,81
2007,Animal Rescue Foundation,Dog,Death,1
2007,Animal Rescue Foundation,Dog,Other Intake,86
2007,Animal Rescue Foundation,Dog,Transfer Out,1
2007,Animal Rescue of the Rockies,Cat,Adoption,5
2007,Animal Rescue of the Rockies,Cat,Other Intake,5
2007,Animal Rescue of the Rockies,Dog,Adoption,37
2007,Animal Rescue of the Rockies,Dog,Other Intake,37
2007,Animal Welfare & Protection Society,Cat,Other Intake,4
2007,Animal Welfare & Protection Society,Cat,Owner Relinquished,4
2007,Animal Welfare & Protection Society,Dog,Adoption,185
2007,Animal Welfare & Protection Society,Dog,Death,5
2007,Animal Welfare & Protection Society,Dog,Other Intake,191
2007,Animal Welfare & Protection Society,Dog,Owner Relinquished,9
2007,Animal Welfare & Protection Society,Dog,Transfer Out,5
2007,Annie'S Orphans,Cat,Adoption,637
2007,Annie'S Orphans,Cat,Death,25
2007,Annie'S Orphans,Cat,Euthanasia,55
2007,Annie'S Orphans,Cat,Other Intake,754
2007,Annie'S Orphans,Cat,Owner Relinquished,10
2007,Annie'S Orphans,Cat,Transfer Out,2
2007,Applewood Boarding Kennel,Dog,Adoption,1
2007,Applewood Boarding Kennel,Dog,Other Intake,1
2007,Ark Valley Humane Society,Cat,Adoption,273
2007,Ark Valley Humane Society,Cat,Death,10
2007,Ark Valley Humane Society,Cat,Euthanasia,14
2007,Ark Valley Humane Society,Cat,Other Intake,339
2007,Ark Valley Humane Society,Cat,Owner Relinquished,3
2007,Ark Valley Humane Society,Cat,Transfer Out,15
2007,Ark Valley Humane Society,Dog,Adoption,229
2007,Ark Valley Humane Society,Dog,Euthanasia,19
2007,Ark Valley Humane Society,Dog,Other Intake,436
2007,Ark Valley Humane Society,Dog,Owner Relinquished,186
2007,Ark Valley Humane Society,Dog,Transfer Out,4
2007,Ark Valley Humane Society,Other,Other Intake,32
2007,Aspen Boarding Kennel & Animal Shelter,Cat,Adoption,109
2007,Aspen Boarding Kennel & Animal Shelter,Cat,Euthanasia,2
2007,Aspen Boarding Kennel & Animal Shelter,Cat,Other Intake,110
2007,Aspen Boarding Kennel & Animal Shelter,Cat,Owner Relinquished,1
2007,Aspen Boarding Kennel & Animal Shelter,Dog,Adoption,104
2007,Aspen Boarding Kennel & Animal Shelter,Dog,Euthanasia,1
2007,Aspen Boarding Kennel & Animal Shelter,Dog,Other Intake,223
2007,Aspen Boarding Kennel & Animal Shelter,Dog,Owner Relinquished,114
2007,Aspen Boarding Kennel & Animal Shelter,Dog,Transfer Out,3
2007,Aspen Boarding Kennel & Animal Shelter,Other,Other Intake,6
2007,"Aunt T'S Pet Motel, Llc",Dog,Adoption,53
2007,"Aunt T'S Pet Motel, Llc",Dog,Other Intake,79
2007,"Aunt T'S Pet Motel, Llc",Dog,Owner Relinquished,1
2007,"Aunt T'S Pet Motel, Llc",Dog,Transfer Out,13
2007,Barnwater Cats,Cat,Adoption,18
2007,Barnwater Cats,Cat,Other Intake,13
2007,Bear Creek Animal Hospital,Cat,Adoption,119
2007,Bear Creek Animal Hospital,Cat,Euthanasia,92
2007,Bear Creek Animal Hospital,Cat,Other Intake,346
2007,Bear Creek Animal Hospital,Cat,Owner Relinquished,14
2007,Bear Creek Animal Hospital,Cat,Transfer Out,121
2007,Bear Creek Animal Hospital,Dog,Adoption,121
2007,Bear Creek Animal Hospital,Dog,Euthanasia,8
2007,Bear Creek Animal Hospital,Dog,Other Intake,480
2007,Bear Creek Animal Hospital,Dog,Owner Relinquished,299
2007,Bear Creek Animal Hospital,Dog,Transfer Out,52
2007,Bear Creek Animal Hospital,Other,Other Intake,5
2007,Bear Creek Animal Hospital,Other,Owner Relinquished,1
2007,Bichon Frise Get Away & Rescue Ranch,Dog,Adoption,15
2007,Bichon Frise Get Away & Rescue Ranch,Dog,Other Intake,17
2007,Black Forest Animal Sanctuary,Cat,Adoption,20
2007,Black Forest Animal Sanctuary,Cat,Death,0
2007,Black Forest Animal Sanctuary,Cat,Euthanasia,0
2007,Black Forest Animal Sanctuary,Cat,Other Intake,20
2007,Black Forest Animal Sanctuary,Cat,Owner Relinquished,0
2007,Black Forest Animal Sanctuary,Cat,Transfer Out,0
2007,Black Forest Animal Sanctuary,Dog,Adoption,46
2007,Black Forest Animal Sanctuary,Dog,Death,0
2007,Black Forest Animal Sanctuary,Dog,Euthanasia,0
2007,Black Forest Animal Sanctuary,Dog,Other Intake,46
2007,Black Forest Animal Sanctuary,Dog,Owner Relinquished,0
2007,Black Forest Animal Sanctuary,Dog,Transfer Out,0
2007,Black Forest Animal Sanctuary,Other,Other Intake,0
2007,Black Forest Animal Sanctuary,Other,Owner Relinquished,0
2007,Black Wolf K-9 Training Services,Dog,Adoption,1
2007,Black Wolf K-9 Training Services,Dog,Other Intake,1
2007,Blue Lion Animal Rescue,Dog,Adoption,35
2007,Blue Lion Animal Rescue,Dog,Death,15
2007,Blue Lion Animal Rescue,Dog,Euthanasia,3
2007,Blue Lion Animal Rescue,Dog,Other Intake,50
2007,Blue Lion Animal Rescue,Dog,Transfer Out,6
2007,C.A.W.S. (Citizens For Animal Welfare & Shelter),Cat,Adoption,12
2007,C.A.W.S. (Citizens For Animal Welfare & Shelter),Cat,Other Intake,32
2007,C.A.W.S. (Citizens For Animal Welfare & Shelter),Dog,Adoption,119
2007,C.A.W.S. (Citizens For Animal Welfare & Shelter),Dog,Euthanasia,4
2007,C.A.W.S. (Citizens For Animal Welfare & Shelter),Dog,Other Intake,146
2007,C.A.W.S. (Citizens For Animal Welfare & Shelter),Dog,Owner Relinquished,1
2007,C.A.W.S. (Citizens For Animal Welfare & Shelter),Dog,Transfer Out,15
2007,Calico Field Animal Shelter,Dog,Death,1
2007,Calico Field Animal Shelter,Dog,Euthanasia,1
2007,Calico Field Animal Shelter,Dog,Other Intake,3
2007,Carbon Valley Animal Hospital,Cat,Other Intake,30
2007,Carbon Valley Animal Hospital,Dog,Adoption,20
2007,Carbon Valley Animal Hospital,Dog,Euthanasia,20
2007,Carbon Valley Animal Hospital,Dog,Other Intake,140
2007,Carbon Valley Animal Hospital,Dog,Owner Relinquished,60
2007,Carbon Valley Animal Hospital,Dog,Transfer Out,30
2007,"Carefree Cats, P.C.",Cat,Adoption,162
2007,"Carefree Cats, P.C.",Cat,Other Intake,162
2007,Charlotte Williams Animal Refuge,Dog,Death,5
2007,Cheris Pet Care,Dog,Adoption,3
2007,Cheris Pet Care,Dog,Other Intake,3
2007,Chihuahua & Small Breed Rescue,Cat,Adoption,1
2007,Chihuahua & Small Breed Rescue,Cat,Other Intake,1
2007,Chihuahua & Small Breed Rescue,Dog,Adoption,1
2007,Chihuahua & Small Breed Rescue,Dog,Other Intake,3
2007,Chihuahua & Small Breed Rescue,Dog,Owner Relinquished,2
2007,Chihuahua & Small Breed Rescue,Other,Other Intake,6
2007,"Chihuahua & Small Dog Rescue, Inc.",Dog,Adoption,137
2007,"Chihuahua & Small Dog Rescue, Inc.",Dog,Death,2
2007,"Chihuahua & Small Dog Rescue, Inc.",Dog,Other Intake,184
2007,City Of Aurora Animal Shelter,Cat,Adoption,590
2007,City Of Aurora Animal Shelter,Cat,Death,36
2007,City Of Aurora Animal Shelter,Cat,Euthanasia,959
2007,City Of Aurora Animal Shelter,Cat,Other Intake,1785
2007,City Of Aurora Animal Shelter,Cat,Owner Relinquished,56
2007,City Of Aurora Animal Shelter,Cat,Transfer Out,29
2007,City Of Aurora Animal Shelter,Dog,Adoption,593
2007,City Of Aurora Animal Shelter,Dog,Death,9
2007,City Of Aurora Animal Shelter,Dog,Euthanasia,534
2007,City Of Aurora Animal Shelter,Dog,Other Intake,2464
2007,City Of Aurora Animal Shelter,Dog,Owner Relinquished,982
2007,City Of Aurora Animal Shelter,Dog,Transfer Out,225
2007,City Of Aurora Animal Shelter,Other,Other Intake,520
2007,City Of Aurora Animal Shelter,Other,Owner Relinquished,27
2007,City Of Brighton Animal Shelter,Cat,Adoption,16
2007,City Of Brighton Animal Shelter,Cat,Death,5
2007,City Of Brighton Animal Shelter,Cat,Euthanasia,144
2007,City Of Brighton Animal Shelter,Cat,Other Intake,549
2007,City Of Brighton Animal Shelter,Cat,Owner Relinquished,20
2007,City Of Brighton Animal Shelter,Cat,Transfer Out,264
2007,City Of Brighton Animal Shelter,Dog,Adoption,39
2007,City Of Brighton Animal Shelter,Dog,Euthanasia,70
2007,City Of Brighton Animal Shelter,Dog,Other Intake,669
2007,City Of Brighton Animal Shelter,Dog,Owner Relinquished,342
2007,City Of Brighton Animal Shelter,Dog,Transfer Out,164
2007,City Of Brighton Animal Shelter,Other,Other Intake,172
2007,City Of Brush Animal Shelter,Cat,Adoption,80
2007,City Of Brush Animal Shelter,Cat,Death,6
2007,City Of Brush Animal Shelter,Cat,Euthanasia,6
2007,City Of Brush Animal Shelter,Cat,Other Intake,100
2007,City Of Brush Animal Shelter,Cat,Owner Relinquished,4
2007,City Of Brush Animal Shelter,Dog,Adoption,60
2007,City Of Brush Animal Shelter,Dog,Euthanasia,43
2007,City Of Brush Animal Shelter,Dog,Other Intake,208
2007,City Of Brush Animal Shelter,Dog,Owner Relinquished,101
2007,City Of Burlington Animal Shelter - I,Dog,Adoption,10
2007,City Of Burlington Animal Shelter - I,Dog,Euthanasia,27
2007,City Of Burlington Animal Shelter - I,Dog,Other Intake,84
2007,City Of Burlington Animal Shelter - I,Dog,Owner Relinquished,47
2007,City Of Cortez Animal Shelter,Cat,Adoption,202
2007,City Of Cortez Animal Shelter,Cat,Death,7
2007,City Of Cortez Animal Shelter,Cat,Euthanasia,721
2007,City Of Cortez Animal Shelter,Cat,Other Intake,943
2007,City Of Cortez Animal Shelter,Cat,Owner Relinquished,18
2007,City Of Cortez Animal Shelter,Dog,Adoption,199
2007,City Of Cortez Animal Shelter,Dog,Death,2
2007,City Of Cortez Animal Shelter,Dog,Euthanasia,308
2007,City Of Cortez Animal Shelter,Dog,Other Intake,812
2007,City Of Cortez Animal Shelter,Dog,Owner Relinquished,253
2007,City Of Cortez Animal Shelter,Dog,Transfer Out,73
2007,City Of Cortez Animal Shelter,Other,Other Intake,26
2007,City Of Cortez Animal Shelter,Other,Owner Relinquished,1
2007,City Of Cripple Creek Animal Shelter,Dog,Adoption,19
2007,City Of Cripple Creek Animal Shelter,Dog,Euthanasia,1
2007,City Of Cripple Creek Animal Shelter,Dog,Other Intake,82
2007,City Of Cripple Creek Animal Shelter,Dog,Owner Relinquished,61
2007,City Of Cripple Creek Animal Shelter,Dog,Transfer Out,1
2007,City Of Cripple Creek Animal Shelter,Other,Other Intake,2
2007,City Of Delta Animal Resource Center,Cat,Adoption,67
2007,City Of Delta Animal Resource Center,Cat,Death,6
2007,City Of Delta Animal Resource Center,Cat,Euthanasia,18
2007,City Of Delta Animal Resource Center,Cat,Other Intake,100
2007,City Of Delta Animal Resource Center,Cat,Owner Relinquished,1
2007,City Of Delta Animal Resource Center,Dog,Adoption,120
2007,City Of Delta Animal Resource Center,Dog,Death,1
2007,City Of Delta Animal Resource Center,Dog,Euthanasia,11
2007,City Of Delta Animal Resource Center,Dog,Other Intake,204
2007,City Of Delta Animal Resource Center,Dog,Owner Relinquished,72
2007,City Of Delta Animal Resource Center,Other,Other Intake,5
2007,City Of Delta Animal Resource Center,Other,Owner Relinquished,3
2007,City Of Ft Morgan Animal Shelter,Cat,Adoption,315
2007,City Of Ft Morgan Animal Shelter,Cat,Death,11
2007,City Of Ft Morgan Animal Shelter,Cat,Euthanasia,44
2007,City Of Ft Morgan Animal Shelter,Cat,Other Intake,392
2007,City Of Ft Morgan Animal Shelter,Cat,Owner Relinquished,16
2007,City Of Ft Morgan Animal Shelter,Dog,Adoption,268
2007,City Of Ft Morgan Animal Shelter,Dog,Death,10
2007,City Of Ft Morgan Animal Shelter,Dog,Euthanasia,34
2007,City Of Ft Morgan Animal Shelter,Dog,Other Intake,765
2007,City Of Ft Morgan Animal Shelter,Dog,Owner Relinquished,251
2007,City Of Ft Morgan Animal Shelter,Dog,Transfer Out,78
2007,City Of Ft Morgan Animal Shelter,Other,Other Intake,4
2007,City Of Gunnison Animal Shelter,Cat,Adoption,42
2007,City Of Gunnison Animal Shelter,Cat,Death,7
2007,City Of Gunnison Animal Shelter,Cat,Euthanasia,11
2007,City Of Gunnison Animal Shelter,Cat,Other Intake,70
2007,City Of Gunnison Animal Shelter,Cat,Owner Relinquished,12
2007,City Of Gunnison Animal Shelter,Cat,Transfer Out,3
2007,City Of Gunnison Animal Shelter,Dog,Adoption,11
2007,City Of Gunnison Animal Shelter,Dog,Death,3
2007,City Of Gunnison Animal Shelter,Dog,Other Intake,204
2007,City Of Gunnison Animal Shelter,Dog,Owner Relinquished,193
2007,City Of Gunnison Animal Shelter,Dog,Transfer Out,1
2007,City Of La Junta Animal Shelter,Cat,Other Intake,4
2007,City Of La Junta Animal Shelter,Cat,Transfer Out,4
2007,City Of La Junta Animal Shelter,Dog,Adoption,94
2007,City Of La Junta Animal Shelter,Dog,Death,3
2007,City Of La Junta Animal Shelter,Dog,Euthanasia,148
2007,City Of La Junta Animal Shelter,Dog,Other Intake,536
2007,City Of La Junta Animal Shelter,Dog,Owner Relinquished,48
2007,City Of La Junta Animal Shelter,Dog,Transfer Out,166
2007,City Of La Junta Animal Shelter,Other,Other Intake,10
2007,City Of Lafayette Animal Shelter,Dog,Other Intake,14
2007,City Of Lafayette Animal Shelter,Dog,Owner Relinquished,7
2007,City Of Lafayette Animal Shelter,Dog,Transfer Out,7
2007,City Of Lamar Animal Shelter,Dog,Adoption,54
2007,City Of Lamar Animal Shelter,Dog,Death,1
2007,City Of Lamar Animal Shelter,Dog,Euthanasia,67
2007,City Of Lamar Animal Shelter,Dog,Other Intake,367
2007,City Of Lamar Animal Shelter,Dog,Owner Relinquished,130
2007,City Of Lamar Animal Shelter,Dog,Transfer Out,110
2007,City Of Montrose Animal Shelter,Cat,Adoption,315
2007,City Of Montrose Animal Shelter,Cat,Death,20
2007,City Of Montrose Animal Shelter,Cat,Euthanasia,933
2007,City Of Montrose Animal Shelter,Cat,Other Intake,988
2007,City Of Montrose Animal Shelter,Cat,Owner Relinquished,59
2007,City Of Montrose Animal Shelter,Cat,Transfer Out,27
2007,City Of Montrose Animal Shelter,Dog,Adoption,305
2007,City Of Montrose Animal Shelter,Dog,Death,6
2007,City Of Montrose Animal Shelter,Dog,Euthanasia,223
2007,City Of Montrose Animal Shelter,Dog,Other Intake,1315
2007,City Of Montrose Animal Shelter,Dog,Owner Relinquished,455
2007,City Of Montrose Animal Shelter,Dog,Transfer Out,30
2007,City Of Montrose Animal Shelter,Other,Other Intake,162
2007,City Of Rifle Animal Shelter,Cat,Adoption,28
2007,City Of Rifle Animal Shelter,Cat,Euthanasia,2
2007,City Of Rifle Animal Shelter,Cat,Other Intake,35
2007,City Of Rifle Animal Shelter,Cat,Transfer Out,5
2007,City Of Rifle Animal Shelter,Dog,Adoption,95
2007,City Of Rifle Animal Shelter,Dog,Death,1
2007,City Of Rifle Animal Shelter,Dog,Euthanasia,2
2007,City Of Rifle Animal Shelter,Dog,Other Intake,222
2007,City Of Rifle Animal Shelter,Dog,Owner Relinquished,107
2007,City Of Rifle Animal Shelter,Dog,Transfer Out,5
2007,City Of Rifle Animal Shelter,Other,Other Intake,2
2007,City Of Rocky Ford Animal Shelter,Dog,Adoption,42
2007,City Of Rocky Ford Animal Shelter,Dog,Other Intake,154
2007,City Of Rocky Ford Animal Shelter,Dog,Owner Relinquished,63
2007,City Of Rocky Ford Animal Shelter,Dog,Transfer Out,49
2007,City Of Steamboat Springs Animal Shelter,Cat,Adoption,186
2007,City Of Steamboat Springs Animal Shelter,Cat,Euthanasia,18
2007,City Of Steamboat Springs Animal Shelter,Cat,Other Intake,222
2007,City Of Steamboat Springs Animal Shelter,Cat,Owner Relinquished,9
2007,City Of Steamboat Springs Animal Shelter,Cat,Transfer Out,13
2007,City Of Steamboat Springs Animal Shelter,Dog,Adoption,153
2007,City Of Steamboat Springs Animal Shelter,Dog,Euthanasia,8
2007,City Of Steamboat Springs Animal Shelter,Dog,Other Intake,526
2007,City Of Steamboat Springs Animal Shelter,Dog,Owner Relinquished,393
2007,City Of Steamboat Springs Animal Shelter,Dog,Transfer Out,2
2007,City Of Steamboat Springs Animal Shelter,Other,Other Intake,4
2007,City Of Walsenburg Animal Shelter,Dog,Adoption,22
2007,City Of Walsenburg Animal Shelter,Dog,Death,1
2007,City Of Walsenburg Animal Shelter,Dog,Euthanasia,10
2007,City Of Walsenburg Animal Shelter,Dog,Other Intake,118
2007,City Of Walsenburg Animal Shelter,Dog,Owner Relinquished,63
2007,City Of Walsenburg Animal Shelter,Dog,Transfer Out,17
2007,City Of Walsenburg Animal Shelter,Other,Other Intake,1
2007,City Of Wray Animal Shelter,Dog,Adoption,17
2007,City Of Wray Animal Shelter,Dog,Euthanasia,1
2007,City Of Wray Animal Shelter,Dog,Other Intake,70
2007,City Of Wray Animal Shelter,Dog,Owner Relinquished,52
2007,City Of Yuma Animal Shelter,Cat,Other Intake,3
2007,City Of Yuma Animal Shelter,Cat,Owner Relinquished,3
2007,City Of Yuma Animal Shelter,Dog,Adoption,6
2007,City Of Yuma Animal Shelter,Dog,Other Intake,73
2007,City Of Yuma Animal Shelter,Dog,Owner Relinquished,56
2007,City Of Yuma Animal Shelter,Dog,Transfer Out,7
2007,City Of Yuma Animal Shelter,Other,Other Intake,1
2007,City Of Yuma Animal Shelter,Other,Owner Relinquished,1
2007,Colorado Animal Rescue,Dog,Other Intake,36
2007,Colorado Animal Rescue,Dog,Transfer Out,210
2007,Colorado Animal Rescue Effort,Dog,Adoption,96
2007,Colorado Animal Rescue Effort,Dog,Euthanasia,16
2007,Colorado Animal Rescue Effort,Dog,Other Intake,121
2007,Colorado Animal Rescue Effort,Dog,Owner Relinquished,11
2007,"Colorado Beagle Rescue, Inc.",Dog,Adoption,41
2007,"Colorado Beagle Rescue, Inc.",Dog,Other Intake,51
2007,"Colorado Beagle Rescue, Inc.",Dog,Owner Relinquished,1
2007,"Colorado Dog Academy, Inc.",Cat,Adoption,2
2007,"Colorado Dog Academy, Inc.",Cat,Other Intake,6
2007,"Colorado Dog Academy, Inc.",Cat,Owner Relinquished,3
2007,"Colorado Dog Academy, Inc.",Cat,Transfer Out,1
2007,"Colorado Dog Academy, Inc.",Dog,Adoption,18
2007,"Colorado Dog Academy, Inc.",Dog,Other Intake,360
2007,"Colorado Dog Academy, Inc.",Dog,Owner Relinquished,274
2007,"Colorado Dog Academy, Inc.",Dog,Transfer Out,68
2007,"Colorado Dog Academy, Inc.",Other,Other Intake,7
2007,"Colorado Dog Academy, Inc.",Other,Owner Relinquished,1
2007,"Colorado Gators, Inc.",Other,Other Intake,32
2007,Colorado Greyhound Adoption,Dog,Adoption,256
2007,Colorado Greyhound Adoption,Dog,Death,78
2007,Colorado Greyhound Adoption,Dog,Euthanasia,1
2007,Colorado Greyhound Adoption,Dog,Other Intake,283
2007,Colorado House Rabbit Society,Other,Other Intake,446
2007,"Colorado Humane Society & S.P.C.A., Inc.",Cat,Adoption,595
2007,"Colorado Humane Society & S.P.C.A., Inc.",Cat,Death,1
2007,"Colorado Humane Society & S.P.C.A., Inc.",Cat,Euthanasia,140
2007,"Colorado Humane Society & S.P.C.A., Inc.",Cat,Other Intake,974
2007,"Colorado Humane Society & S.P.C.A., Inc.",Cat,Owner Relinquished,32
2007,"Colorado Humane Society & S.P.C.A., Inc.",Cat,Transfer Out,6
2007,"Colorado Humane Society & S.P.C.A., Inc.",Dog,Adoption,1453
2007,"Colorado Humane Society & S.P.C.A., Inc.",Dog,Death,3
2007,"Colorado Humane Society & S.P.C.A., Inc.",Dog,Euthanasia,211
2007,"Colorado Humane Society & S.P.C.A., Inc.",Dog,Other Intake,2295
2007,"Colorado Humane Society & S.P.C.A., Inc.",Dog,Owner Relinquished,494
2007,"Colorado Humane Society & S.P.C.A., Inc.",Dog,Transfer Out,40
2007,"Colorado Humane Society & S.P.C.A., Inc.",Other,Other Intake,100
2007,"Colorado Humane Society & S.P.C.A., Inc.",Other,Owner Relinquished,2
2007,Colorado K-9 Acres,Dog,Euthanasia,1
2007,Colorado K-9 Acres,Dog,Other Intake,2
2007,Colorado Pit Bull Rescue,Dog,Adoption,42
2007,Colorado Pit Bull Rescue,Dog,Euthanasia,1
2007,Colorado Pit Bull Rescue,Dog,Other Intake,44
2007,Colorado Pit Bull Rescue,Dog,Transfer Out,1
2007,Colorado Pug Rescue,Dog,Adoption,98
2007,Colorado Pug Rescue,Dog,Death,2
2007,Colorado Pug Rescue,Dog,Euthanasia,2
2007,Colorado Pug Rescue,Dog,Other Intake,92
2007,Colorado Puppy Rescue,Dog,Adoption,1184
2007,Colorado Puppy Rescue,Dog,Death,6
2007,Colorado Reptile Humane Society,Other,Other Intake,402
2007,Colorado Reptile Humane Society,Other,Owner Relinquished,4
2007,Colorado Rhodesian Ridgeback Rescue,Dog,Adoption,63
2007,Colorado Rhodesian Ridgeback Rescue,Dog,Death,9
2007,Colorado Rhodesian Ridgeback Rescue,Dog,Euthanasia,2
2007,Colorado Rhodesian Ridgeback Rescue,Dog,Other Intake,72
2007,Colorado Sheltie Rescue,Dog,Adoption,110
2007,Colorado Sheltie Rescue,Dog,Euthanasia,5
2007,Colorado Sheltie Rescue,Dog,Other Intake,117
2007,Colorado Sheltie Rescue,Dog,Owner Relinquished,1
2007,Colorado Sheltie Rescue,Dog,Transfer Out,2
2007,Colorado Shih Tzu / Maltese Rescue,Dog,Adoption,114
2007,Colorado Shih Tzu / Maltese Rescue,Dog,Euthanasia,3
2007,Colorado Shih Tzu / Maltese Rescue,Dog,Other Intake,128
2007,"Colorado Springs All Breed Rescue, Inc",Dog,Adoption,27
2007,"Colorado Springs All Breed Rescue, Inc",Dog,Other Intake,20
2007,Conour S.L.V. Animal Shelter,Cat,Adoption,160
2007,Conour S.L.V. Animal Shelter,Cat,Death,5
2007,Conour S.L.V. Animal Shelter,Cat,Euthanasia,30
2007,Conour S.L.V. Animal Shelter,Cat,Other Intake,213
2007,Conour S.L.V. Animal Shelter,Cat,Owner Relinquished,3
2007,Conour S.L.V. Animal Shelter,Cat,Transfer Out,9
2007,Conour S.L.V. Animal Shelter,Dog,Adoption,217
2007,Conour S.L.V. Animal Shelter,Dog,Death,9
2007,Conour S.L.V. Animal Shelter,Dog,Euthanasia,74
2007,Conour S.L.V. Animal Shelter,Dog,Other Intake,645
